3.399999999999758771e-02,6.969791631626737205e-01,-1.316074852642641174e-05,3.821765612706086168e-01,0.000000000000000000e+00
3.599999999999736744e-02,6.969781100085643555e-01,-1.559882297151508841e-05,3.821750261069432053e-01,0.000000000000000000e+00
3.799999999999714717e-02,6.969769354821304663e-01,-1.831787696164727987e-05,3.821733140210393231e-01,0.000000000000000000e+00
3.999999999999692690e-02,6.969756332362706530e-01,-2.133260417334506968e-05,3.821714157608422924e-01,0.000000000000000000e+00
4.199999999999670663e-02,6.969741969649984048e-01,-2.465760310168730896e-05,3.821693221342294389e-01,0.000000000000000000e+00
4.399999999999648637e-02,6.969726204033559469e-01,-2.830737725819205085e-05,3.821670240088858028e-01,0.000000000000000000e+00
4.599999999999626610e-02,6.969708973273297525e-01,-3.229633536869899513e-05,3.821645123121792387e-01,0.000000000000000000e+00
4.799999999999604583e-02,6.969690215537641675e-01,-3.663879157125182778e-05,3.821617780310360701e-01,0.000000000000000000e+00
4.999999999999582556e-02,6.969669869402768114e-01,-4.134896561398074694e-05,3.821588122118164121e-01,0.000000000000000000e+00
5.199999999999560529e-02,6.969647873851720909e-01,-4.644098305298478217e-05,3.821556059601895483e-01,0.000000000000000000e+00
5.399999999999538502e-02,6.969624168273567122e-01,-5.192887545021430338e-05,3.821521504410092529e-01,0.000000000000000000e+00
5.599999999999516476e-02,6.969598692462534162e-01,-5.782658057135334694e-05,3.821484368781893903e-01,0.000000000000000000e+00
5.799999999999494449e-02,6.969571386617161579e-01,-6.414794258370208396e-05,3.821444565545791816e-01,0.000000000000000000e+00
5.999999999999472422e-02,6.969542191339439530e-01,-7.090671225405925475e-05,3.821402008118385263e-01,0.000000000000000000e+00
6.199999999999450395e-02,6.969511047633959455e-01,-7.811654714660457618e-05,3.821356610503136575e-01,0.000000000000000000e+00
6.399999999999428368e-02,6.969477896907058101e-01,-8.579101182078113547e-05,3.821308287289121863e-01,0.000000000000000000e+00
6.599999999999406342e-02,6.969442680965961534e-01,-9.394357802917779074e-05,3.821256953649789234e-01,0.000000000000000000e+00
6.799999999999384315e-02,6.969405342017928051e-01,-1.025876249154116800e-04,3.821202525341709788e-01,0.000000000000000000e+00
6.999999999999362288e-02,6.969365822669401078e-01,-1.117364392120105270e-04,3.821144918703331395e-01,0.000000000000000000e+00
7.199999999999340261e-02,6.969324065925146527e-01,-1.214032154382951363e-04,3.821084050653735242e-01,0.000000000000000000e+00
7.399999999999318234e-02,6.969280015187400146e-01,-1.316010560982617942e-04,3.821019838691387394e-01,0.000000000000000000e+00
7.599999999999296207e-02,6.969233614255017084e-01,-1.423429718784647235e-04,3.820952200892894779e-01,0.000000000000000000e+00
7.799999999999274181e-02,6.969184807322610364e-01,-1.536418818458983753e-04,3.820881055911757307e-01,0.000000000000000000e+00
7.999999999999252154e-02,6.969133538979700448e-01,-1.655106136458800198e-04,3.820806322977122749e-01,0.000000000000000000e+00
8.199999999999230127e-02,6.969079754209859257e-01,-1.779619036999319703e-04,3.820727921892541623e-01,0.000000000000000000e+00
8.399999999999208100e-02,6.969023398389857515e-01,-1.910083974036641465e-04,3.820645773034718751e-01,0.000000000000000000e+00
8.599999999999186073e-02,6.968964417288804336e-01,-2.046626493246565565e-04,3.820559797352270914e-01,0.000000000000000000e+00
8.799999999999164046e-02,6.968902757067299003e-01,-2.189371234003414533e-04,3.820469916364477303e-01,0.000000000000000000e+00
8.999999999999142020e-02,6.968838364276572772e-01,-2.338441931358861150e-04,3.820376052160035507e-01,0.000000000000000000e+00
9.199999999999119993e-02,6.968771185857633998e-01,-2.493961418020747842e-04,3.820278127395815293e-01,0.000000000000000000e+00
9.399999999999097966e-02,6.968701169140413265e-01,-2.656051626331916654e-04,3.820176065295611822e-01,0.000000000000000000e+00
9.599999999999075939e-02,6.968628261842910732e-01,-2.824833590249027832e-04,3.820069789648899983e-01,0.000000000000000000e+00
9.799999999999053912e-02,6.968552412070341262e-01,-3.000427447321388978e-04,3.819959224809589826e-01,0.000000000000000000e+00
9.999999999999031886e-02,6.968473568314274003e-01,-3.182952440669773635e-04,3.819844295694778680e-01,0.000000000000000000e+00
1.019999999999900986e-01,6.968391679451786391e-01,-3.372526920965252342e-04,3.819724927783504920e-01,0.000000000000000000e+00
1.039999999999898783e-01,6.968306694744601515e-01,-3.569268348408010673e-04,3.819601047115504522e-01,0.000000000000000000e+00
1.059999999999896581e-01,6.968218563838239898e-01,-3.773293294706177043e-04,3.819472580289963171e-01,0.000000000000000000e+00
1.079999999999894378e-01,6.968127236761157972e-01,-3.984717445054645080e-04,3.819339454464268924e-01,0.000000000000000000e+00
1.099999999999892175e-01,6.968032663923902081e-01,-4.203655600113898180e-04,3.819201597352769872e-01,0.000000000000000000e+00
1.119999999999889972e-01,6.967934796118242513e-01,-4.430221677988836217e-04,3.819058937225525141e-01,0.000000000000000000e+00
1.139999999999887770e-01,6.967833584516328616e-01,-4.664528716207594133e-04,3.818911402907059216e-01,0.000000000000000000e+00
1.159999999999885567e-01,6.967728980669828376e-01,-4.906688873700372445e-04,3.818758923775118497e-01,0.000000000000000000e+00
1.179999999999883364e-01,6.967620936509079099e-01,-5.156813432778256916e-04,3.818601429759422294e-01,0.000000000000000000e+00
1.199999999999881162e-01,6.967509404342222545e-01,-5.415012801112043103e-04,3.818438851340417162e-01,0.000000000000000000e+00
1.219999999999878959e-01,6.967394336854362269e-01,-5.681396513711066323e-04,3.818271119548033443e-01,0.000000000000000000e+00
1.239999999999876756e-01,6.967275687106699866e-01,-5.956073234902014820e-04,3.818098165960436274e-01,0.000000000000000000e+00
